Patterns
"((88, 107), (88, 107))"
"((88, 107), (88, 106))"
"((80, 101), (80, 101))"
"((80, 101), (80, 101), (80, 101))"
"((80, 101), (81, 101))"
"((80, 101), (80, 102))"
"((80, 101), (80, 100))"
"((80, 101), (82, 101))"
"((80, 101), (79, 101))"
"((82, 101), (80, 101))"
"((82, 101), (82, 100))"
"((82, 101), (82, 101))"
"((82, 101), (82, 101), (82, 101))"
"((82, 101), (82, 102))"
"((85, 103), (85, 104))"
"((85, 103), (85, 103))"
"((79, 102), (79, 102))"
"((79, 114), (79, 114))"
"((80, 102), (80, 102))"
"((80, 102), (80, 103))"
"((76, 111), (76, 111))"
"((82, 102), (82, 101))"
"((82, 102), (82, 102))"
"((82, 102), (82, 102), (82, 102))"
"((82, 102), (83, 102))"
"((77, 103), (77, 103))"
"((80, 100), (80, 96))"
"((80, 100), (80, 101))"
"((80, 100), (80, 100))"
"((80, 100), (80, 100), (80, 100))"
"((80, 100), (79, 100))"
"((80, 100), (80, 99))"
"((78, 97), (78, 97))"
"((78, 97), (77, 97))"
"((77, 102), (77, 101))"
"((77, 102), (77, 102))"
"((77, 102), (76, 102))"
"((81, 95), (80, 95))"
"((81, 95), (81, 95))"
"((81, 95), (80, 96))"
"((83, 97), (83, 97))"
"((81, 102), (81, 102))"
"((78, 103), (78, 103))"
"((78, 103), (78, 103), (78, 103))"
"((76, 97), (76, 96))"
"((76, 97), (76, 97))"
"((78, 87), (78, 86))"
"((78, 87), (78, 88))"
"((78, 87), (78, 87))"
"((78, 87), (77, 87))"
"((79, 101), (80, 101))"
"((79, 101), (79, 101))"
"((79, 101), (79, 101), (79, 101))"
"((79, 101), (79, 100))"
"((79, 101), (78, 101))"
"((79, 101), (79, 102))"
"((93, 98), (93, 98))"
"((94, 84), (94, 84))"
"((94, 84), (93, 83))"
"((83, 151), (83, 151))"
"((83, 151), (84, 151))"
"((82, 151), (83, 151))"
"((85, 146), (85, 146))"
"((86, 148), (86, 149))"
"((86, 148), (86, 148))"
"((84, 148), (84, 148))"
"((86, 149), (86, 151))"
"((86, 149), (87, 149))"
"((86, 149), (86, 148))"
"((86, 149), (86, 149))"
"((86, 149), (86, 149), (86, 149))"
"((86, 149), (85, 150))"
"((86, 149), (86, 147))"
"((86, 149), (85, 149))"
"((86, 149), (86, 150))"
"((90, 143), (90, 143))"
"((74, 96), (74, 95))"
"((74, 96), (74, 96))"
"((74, 95), (74, 95))"
"((74, 95), (74, 94))"
"((74, 95), (75, 95))"
"((89, 96), (89, 96))"
"((89, 96), (90, 97))"
"((78, 96), (78, 96))"
"((78, 96), (80, 95))"
"((78, 96), (77, 96))"
"((76, 95), (76, 96))"
"((76, 95), (76, 95))"
"((76, 95), (76, 95), (76, 95))"
"((76, 95), (77, 94))"
"((76, 95), (77, 95))"
"((76, 95), (76, 94))"
"((74, 94), (74, 95))"
"((74, 94), (73, 94))"
"((74, 94), (74, 94))"
"((74, 94), (74, 94), (74, 94))"
"((74, 94), (74, 94), (74, 94), (74, 94))"
"((74, 94), (72, 94))"
"((74, 94), (75, 94))"
"((74, 94), (74, 93))"
"((73, 98), (73, 98))"
"((73, 98), (72, 98))"
"((75, 96), (75, 96))"
"((77, 97), (77, 98))"
"((77, 97), (78, 97))"
"((77, 97), (77, 97))"
"((77, 97), (77, 97), (77, 97))"
"((77, 96), (77, 96))"
"((77, 96), (77, 96), (77, 96))"
"((77, 96), (76, 96))"
"((77, 96), (78, 96))"
"((77, 96), (77, 97))"
"((73, 94), (73, 94))"
"((73, 94), (73, 94), (73, 94))"
"((73, 94), (74, 94))"
"((73, 94), (72, 94))"
"((73, 94), (72, 93))"
"((73, 95), (73, 95))"
"((74, 67), (74, 67))"
"((81, 89), (81, 89))"
"((81, 89), (81, 88))"
"((79, 92), (79, 92))"
"((79, 92), (79, 92), (79, 92))"
"((79, 92), (82, 93))"
"((79, 92), (78, 93))"
"((79, 92), (80, 92))"
"((79, 92), (80, 95))"
"((79, 92), (80, 90))"
"((79, 92), (78, 92))"
"((79, 92), (79, 94))"
"((79, 92), (80, 96))"
"((79, 92), (79, 90))"
"((79, 92), (79, 93))"
"((79, 92), (79, 91))"
"((79, 92), (77, 92))"
"((79, 92), (78, 94))"
"((79, 92), (80, 93))"
"((79, 92), (79, 95))"
"((79, 92), (77, 91))"
"((80, 86), (80, 86))"
"((80, 86), (80, 87))"
"((80, 86), (80, 95))"
"((80, 86), (80, 85))"
"((80, 86), (80, 92))"
"((80, 86), (80, 88))"
"((76, 82), (76, 82))"
"((82, 91), (80, 95))"
"((82, 91), (83, 91))"
"((82, 91), (82, 92))"
"((82, 91), (82, 91))"
"((82, 91), (82, 91), (82, 91))"
"((82, 91), (82, 90))"
"((80, 95), (80, 92))"
"((80, 95), (82, 90))"
"((80, 95), (77, 94))"
"((80, 95), (80, 95))"
"((80, 95), (80, 95), (80, 95))"
"((80, 95), (80, 95), (80, 95), (80, 95))"
"((80, 95), (80, 95), (80, 96))"
"((80, 95), (79, 96))"
"((80, 95), (78, 92))"
"((80, 95), (80, 96))"
"((80, 95), (80, 96), (80, 96))"
"((80, 95), (80, 96), (80, 95))"
"((80, 95), (80, 94))"
"((80, 95), (79, 94))"
"((80, 95), (74, 107))"
"((80, 95), (82, 93))"
"((80, 95), (71, 107))"
"((80, 95), (80, 97))"
"((80, 95), (80, 93))"
"((80, 95), (79, 93))"
"((80, 95), (75, 107))"
"((80, 95), (82, 92))"
"((80, 95), (77, 101))"
"((80, 95), (78, 94))"
"((80, 95), (79, 95))"
"((80, 95), (82, 91))"
"((80, 95), (79, 92))"
"((80, 95), (79, 97))"
"((80, 95), (80, 98))"
"((80, 95), (81, 94))"
"((80, 95), (79, 100))"
"((80, 95), (82, 94))"
"((80, 95), (76, 102))"
"((80, 95), (78, 93))"
"((80, 95), (77, 92))"
"((80, 95), (80, 86))"
"((80, 95), (81, 95))"
"((69, 63), (69, 63))"
"((71, 65), (71, 65))"
"((76, 99), (76, 98))"
"((76, 99), (76, 99))"
"((76, 99), (76, 100))"
"((76, 99), (77, 98))"
"((76, 99), (77, 99))"
"((76, 99), (75, 99))"
"((78, 88), (78, 88))"
"((78, 88), (79, 88))"
"((65, 63), (65, 63))"
"((65, 63), (65, 64))"
"((74, 90), (74, 91))"
"((74, 90), (74, 90))"
"((74, 90), (74, 90), (74, 90))"
"((74, 90), (74, 89))"
"((74, 90), (75, 90))"
"((69, 64), (69, 64))"
"((73, 93), (73, 93))"
"((73, 93), (74, 93))"
"((76, 94), (76, 94))"
"((76, 94), (76, 94), (76, 94))"
"((76, 94), (77, 94))"
"((76, 94), (76, 93))"
"((80, 96), (80, 95))"
"((80, 96), (80, 95), (80, 95))"
"((80, 96), (80, 95), (80, 96))"
"((80, 96), (80, 92))"
"((80, 96), (79, 96))"
"((80, 96), (82, 93))"
"((80, 96), (80, 96))"
"((80, 96), (80, 96), (80, 96))"
"((80, 96), (80, 96), (80, 96), (80, 96))"
"((80, 96), (80, 96), (80, 95))"
"((80, 96), (80, 96), (80, 97))"
"((80, 96), (79, 94))"
"((80, 96), (81, 95))"
"((80, 96), (80, 93))"
"((80, 96), (80, 97))"
"((80, 96), (80, 98))"
"((80, 96), (79, 93))"
"((80, 96), (79, 99))"
"((80, 96), (79, 92))"
"((80, 96), (79, 95))"
"((80, 96), (82, 94))"
"((80, 96), (82, 91))"
"((80, 96), (81, 94))"
"((80, 96), (79, 97))"
"((80, 96), (80, 100))"
"((80, 96), (79, 100))"
"((80, 96), (80, 94))"
"((80, 96), (81, 96))"
"((80, 96), (81, 97))"
"((76, 69), (76, 69))"
"((73, 92), (72, 92))"
"((73, 92), (73, 93))"
"((73, 92), (73, 92))"
"((161, 173), (161, 173))"
"((161, 173), (161, 172))"
"((161, 173), (161, 174))"
"((162, 173), (162, 173))"
"((160, 173), (160, 173))"
"((133, 141), (133, 141))"
"((85, 149), (85, 149))"
"((85, 149), (85, 149), (85, 149))"
"((85, 149), (86, 150))"
"((85, 149), (86, 149))"
"((85, 149), (85, 148))"
"((85, 149), (85, 150))"
"((84, 149), (84, 149))"
"((79, 100), (79, 101))"
"((79, 100), (80, 95))"
"((79, 100), (80, 100))"
"((79, 100), (80, 96))"
"((79, 100), (79, 100))"
"((79, 100), (79, 100), (79, 100))"
"((79, 100), (79, 99))"
"((79, 100), (80, 101))"
"((93, 100), (93, 100))"
"((93, 100), (93, 101))"
"((79, 97), (79, 97))"
"((79, 97), (79, 98))"
"((79, 97), (80, 95))"
"((78, 89), (78, 89))"
"((78, 89), (78, 90))"
"((78, 89), (79, 89))"
"((78, 89), (77, 89))"
"((78, 89), (77, 91))"
"((79, 96), (80, 96))"
"((79, 96), (80, 95))"
"((79, 96), (79, 96))"
"((79, 96), (79, 95))"
"((78, 90), (78, 89))"
"((78, 90), (78, 90))"
"((79, 95), (79, 96))"
"((79, 95), (80, 96))"
"((79, 95), (80, 92))"
"((79, 95), (79, 95))"
"((79, 95), (79, 95), (79, 95))"
