,support,itemsets,check_support
0,0.1308636562911004,frozenset({'Japanese restaurant'}),0.1308636562911004
1,0.10708022797018851,frozenset({'Interior Shop'}),0.10708022797018851
2,0.14072775098640947,frozenset({'Grocery Store'}),0.14072775098640947
3,0.18029373081981587,frozenset({'Park'}),0.18029373081981587
4,0.3597106532222709,frozenset({'Transit Station'}),0.3597106532222709
5,0.12428759316089434,frozenset({'Hospital'}),0.12428759316089434
6,0.1418237615081105,frozenset({'Elderly Care Home'}),0.1418237615081105
7,0.16374397194213064,frozenset({'Real Estate'}),0.16374397194213064
8,0.2698377904427883,frozenset({'Home Appliances'}),0.2698377904427883
9,0.105436212187637,frozenset({'Post Office'}),0.105436212187637
10,0.16220955721174923,frozenset({'Laundry '}),0.16220955721174923
11,0.16462078035949146,frozenset({'Driving School'}),0.16462078035949146
12,0.1330556773345024,frozenset({'Bank'}),0.1330556773345024
13,0.18950021920210433,frozenset({'Hair Salon'}),0.18950021920210433
14,0.2538360368259535,frozenset({'Community Center'}),0.2538360368259535
15,0.37505480052608503,frozenset({'Church'}),0.37505480052608503
16,0.1183691363437089,frozenset({'Retail Store'}),0.1183691363437089
17,0.20166593599298555,frozenset({'Accountant Office'}),0.20166593599298555
18,0.27093380096448927,frozenset({'Building Material'}),0.27093380096448927
19,0.3039237176676896,frozenset({'Heavy Industry'}),0.3039237176676896
20,0.11398509425690487,frozenset({'NPO'}),0.11398509425690487
21,0.12801402893467778,frozenset({'Port'}),0.12801402893467778
22,0.10072336694432267,"frozenset({'Grocery Store', 'Transit Station'})",0.10072336694432267
23,0.1186979395002192,"frozenset({'Park', 'Transit Station'})",0.1186979395002192
24,0.1052170100832968,"frozenset({'Home Appliances', 'Park'})",0.1052170100832968
25,0.10883384480491012,"frozenset({'Park', 'Building Material'})",0.10883384480491012
26,0.1186979395002192,"frozenset({'Transit Station', 'Real Estate'})",0.1186979395002192
27,0.15311266988163086,"frozenset({'Home Appliances', 'Transit Station'})",0.15311266988163086
28,0.12121876370013152,"frozenset({'Laundry ', 'Transit Station'})",0.12121876370013152
